Sample	Pedigree	Trait	Value	Year
1	Mo17_PHW30	FUELA	66.0015	2018
1	Mo17_PHW30	FUELA	63.341	2018
1	Mo17_PHW30	FUELA	60.3595	2018
1	Mo17_PHW30	MLA	62.611	2018
1	Mo17_PHW30	MLA	65.7105	2018
1	Mo17_PHW30	MLA	66.3995	2018
1	Mo17_PHW30	TUELA	60.56	2018
1	Mo17_PHW30	TUELA	60.223	2018
1	Mo17_PHW30	TUELA	66.9525	2018
1	Mo17_PHW30	ULA	57.3065	2018
1	Mo17_PHW30	ULA	61.615	2018
1	Mo17_PHW30	ULA	64.757	2018
2	PHW30_Mo17	FUELA	72.1955	2018
2	PHW30_Mo17	FUELA	68.3145	2018
2	PHW30_Mo17	FUELA	71.412	2018
2	PHW30_Mo17	MLA	65.398	2018
2	PHW30_Mo17	MLA	68.9555	2018
2	PHW30_Mo17	MLA	62.037	2018
2	PHW30_Mo17	MLA	63.556	2018
2	PHW30_Mo17	TUELA	62.9745	2018
2	PHW30_Mo17	TUELA	68.7685	2018
2	PHW30_Mo17	TUELA	71.8115	2018
2	PHW30_Mo17	ULA	63.9745	2018
2	PHW30_Mo17	ULA	61.8655	2018
2	PHW30_Mo17	ULA	65.9645	2018
3	B73_PHW30	FUELA	72.1595	2018
3	B73_PHW30	FUELA	69.557	2018
3	B73_PHW30	FUELA	72.585	2018
3	B73_PHW30	MLA	60.0295	2018
3	B73_PHW30	MLA	60.6165	2018
3	B73_PHW30	MLA	65.581	2018
3	B73_PHW30	TUELA	66.42	2018
3	B73_PHW30	TUELA	78.2495	2018
3	B73_PHW30	TUELA	76.713	2018
3	B73_PHW30	ULA	75.889	2018
3	B73_PHW30	ULA	73.4315	2018
3	B73_PHW30	ULA	78.006	2018
4	PHW30_B73	FUELA	63.146	2018
4	PHW30_B73	FUELA	70.21	2018
4	PHW30_B73	FUELA	66.568	2018
4	PHW30_B73	MLA	60.81	2018
4	PHW30_B73	MLA	60.8325	2018
4	PHW30_B73	MLA	61.8425	2018
4	PHW30_B73	TUELA	74.8565	2018
4	PHW30_B73	TUELA	74.2425	2018
4	PHW30_B73	TUELA	69.7585	2018
4	PHW30_B73	ULA	81.934	2018
4	PHW30_B73	ULA	79.435	2018
4	PHW30_B73	ULA	76.1935	2018
4	PHW30_B73	ULA	74.5865	2018
5	B73_Mo17	FUELA	66.28	2018
5	B73_Mo17	FUELA	75.135	2018
5	B73_Mo17	FUELA	72.346	2018
5	B73_Mo17	MLA	73.6085	2018
5	B73_Mo17	MLA	67.6545	2018
5	B73_Mo17	MLA	58.263	2018
5	B73_Mo17	TUELA	81.5755	2018
5	B73_Mo17	TUELA	78.288	2018
5	B73_Mo17	TUELA	76.996	2018
5	B73_Mo17	ULA	77.007	2018
5	B73_Mo17	ULA	75.731	2018
5	B73_Mo17	ULA	81.1945	2018
6	Mo17_PHW30	FUELA	67.148	2018
6	Mo17_PHW30	FUELA	71.459	2018
6	Mo17_PHW30	FUELA	67.901	2018
6	Mo17_PHW30	MLA	68.9225	2018
6	Mo17_PHW30	MLA	67.213	2018
6	Mo17_PHW30	MLA	72.9105	2018
6	Mo17_PHW30	TUELA	69.7	2018
6	Mo17_PHW30	TUELA	65.097	2018
6	Mo17_PHW30	TUELA	64.1115	2018
6	Mo17_PHW30	ULA	67.0225	2018
6	Mo17_PHW30	ULA	68.8695	2018
6	Mo17_PHW30	ULA	69.396	2018
7	PHW30_Mo17	FUELA	71.6175	2018
7	PHW30_Mo17	FUELA	68.052	2018
7	PHW30_Mo17	FUELA	64.4935	2018
7	PHW30_Mo17	MLA	63.514	2018
7	PHW30_Mo17	MLA	62.8705	2018
7	PHW30_Mo17	MLA	62.231	2018
7	PHW30_Mo17	TUELA	62.476	2018
7	PHW30_Mo17	TUELA	65.0085	2018
7	PHW30_Mo17	TUELA	69.0185	2018
7	PHW30_Mo17	ULA	54.9165	2018
7	PHW30_Mo17	ULA	65.1585	2018
7	PHW30_Mo17	ULA	66.8855	2018
8	B73_PHW30	FUELA	66.008	2018
8	B73_PHW30	FUELA	71.456	2018
8	B73_PHW30	FUELA	73.177	2018
8	B73_PHW30	MLA	65.2655	2018
8	B73_PHW30	MLA	76.882	2018
8	B73_PHW30	MLA	61.869	2018
8	B73_PHW30	TUELA	71.3275	2018
8	B73_PHW30	TUELA	72.372	2018
8	B73_PHW30	TUELA	76.3755	2018
8	B73_PHW30	ULA	76.284	2018
8	B73_PHW30	ULA	76.352	2018
8	B73_PHW30	ULA	74.7445	2018
9	PHW30_B73	FUELA	70.3785	2018
9	PHW30_B73	FUELA	71.8485	2018
9	PHW30_B73	FUELA	72.945	2018
9	PHW30_B73	MLA	61.4365	2018
9	PHW30_B73	MLA	66.5235	2018
9	PHW30_B73	MLA	66.583	2018
9	PHW30_B73	TUELA	73.4365	2018
9	PHW30_B73	TUELA	73.065	2018
9	PHW30_B73	TUELA	76.6	2018
9	PHW30_B73	ULA	76.377	2018
9	PHW30_B73	ULA	74.8375	2018
9	PHW30_B73	ULA	74.9855	2018
10	PHW30_Mo17	FUELA	69.2805	2017
10	PHW30_Mo17	FUELA	68.7255	2017
10	PHW30_Mo17	FUELA	70.401	2017
10	PHW30_Mo17	MLA	58.826	2017
10	PHW30_Mo17	MLA	61.4955	2017
10	PHW30_Mo17	MLA	62.596	2017
10	PHW30_Mo17	TUELA	62.8495	2017
10	PHW30_Mo17	TUELA	67.1585	2017
10	PHW30_Mo17	TUELA	57.7145	2017
10	PHW30_Mo17	ULA	55.6425	2017
10	PHW30_Mo17	ULA	53.3985	2017
10	PHW30_Mo17	ULA	53.664	2017
11	Mo17_PHW30	FUELA	64.8355	2017
11	Mo17_PHW30	FUELA	65.579	2017
11	Mo17_PHW30	FUELA	68.9905	2017
11	Mo17_PHW30	MLA	61.9495	2017
11	Mo17_PHW30	MLA	69.087	2017
11	Mo17_PHW30	MLA	59.0495	2017
11	Mo17_PHW30	TUELA	59.3085	2017
11	Mo17_PHW30	TUELA	62.883	2017
11	Mo17_PHW30	TUELA	57.7515	2017
11	Mo17_PHW30	ULA	54.1585	2017
11	Mo17_PHW30	ULA	53.377	2017
11	Mo17_PHW30	ULA	54.756	2017
12	PHW30_B73	FUELA	65.1295	2017
12	PHW30_B73	FUELA	58.1165	2017
12	PHW30_B73	FUELA	66.1455	2017
12	PHW30_B73	MLA	65.9795	2017
12	PHW30_B73	MLA	66.7385	2017
12	PHW30_B73	MLA	71.943	2017
12	PHW30_B73	TUELA	70.0725	2017
12	PHW30_B73	TUELA	69.953	2017
12	PHW30_B73	TUELA	74.19	2017
12	PHW30_B73	ULA	78.2335	2017
12	PHW30_B73	ULA	79.9175	2017
12	PHW30_B73	ULA	76.3925	2017
13	B73_PHW30	FUELA	64.7295	2017
13	B73_PHW30	FUELA	69.5125	2017
13	B73_PHW30	FUELA	70.074	2017
13	B73_PHW30	MLA	60.1235	2017
13	B73_PHW30	MLA	66.3275	2017
13	B73_PHW30	MLA	60.66	2017
13	B73_PHW30	TUELA	66.4785	2017
13	B73_PHW30	TUELA	65.814	2017
13	B73_PHW30	TUELA	67.341	2017
13	B73_PHW30	ULA	72.1445	2017
13	B73_PHW30	ULA	75.71	2017
13	B73_PHW30	ULA	67.9155	2017
