Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
Mo17/PHW30-341 - (2n)-02	2016	1	5	ULA	50.0442	1	5	133	1	2016_Loc1
PHW30/Mo17-178 - (2n)-01	2016	1	6	ULA	79.1934	1	5	285	1	2016_Loc1
PHW30/Mo17-266 - (2n)-01	2016	1	8	ULA	68.94633333	1	5	301	1	2016_Loc1
Mo17/PHW30-281 - (2n)-01	2016	1	9	ULA	67.40033333	1	5	122	1	2016_Loc1
Mo17/PHW30-429 - (2n)-02	2016	1	10	ULA	43.048	1	5	139	1	2016_Loc1
PHW30/Mo17-061 - (2n)-02	2016	1	11	ULA	47.3034	1	5	242	1	2016_Loc1
PHW30/Mo17-037 - (2n)-02	2016	1	12	ULA	57.1438	1	5	230	1	2016_Loc1
Mo17/PHW30-148 - (2n)-02	2016	1	13	ULA	64.885	1	5	96	1	2016_Loc1
B73/PHW30-092 - (2n)-01	2016	1	14	ULA	75.0254	1	4	14	1	2016_Loc1
PHW30/Mo17-089 - (2n)-01	2016	1	15	ULA	69.5938	1	5	252	1	2016_Loc1
Mo17/PHW30-254 - (2n)-02	2016	1	16	ULA	74.344	1	5	115	1	2016_Loc1
PHW30/B73-302 - (2n)-02	2016	1	17	ULA	74.1428	1	4	194	1	2016_Loc1
Mo17/PHW30-089 - (2n)-02	2016	1	18	ULA	62.8806	1	5	84	1	2016_Loc1
PHW30/Mo17-110 - (2n)-03	2016	1	19	ULA	69.8682	1	5	262	1	2016_Loc1
PHW30/B73-193 - (2n)-01	2016	1	20	ULA	81.4578	1	4	178	1	2016_Loc1
PHW30/B73-433 - (2n)-01	2016	1	21	ULA	68.197	1	4	214	1	2016_Loc1
PHW30/Mo17-179 - (2n)-01	2016	1	22	ULA	64.3428	1	5	287	1	2016_Loc1
PHW30/Mo17-101 - (2n)-02	2016	1	23	ULA	73.543	1	5	259	1	2016_Loc1
PHW30/B73-029 - (2n)-01	2016	1	25	ULA	64.5038	1	4	153	1	2016_Loc1
Mo17/PHW30-009 - (2n)-01	2016	1	26	ULA	54.7118	1	5	66	1	2016_Loc1
PHW30/Mo17-278 - (2n)-02	2016	1	27	ULA	57.6042	1	5	303	1	2016_Loc1
PHW30/Mo17-010 - (2n)-02	2016	1	28	ULA	45.104	1	5	219	1	2016_Loc1
Mo17/PHW30-456 - (2n)-02	2016	1	29	ULA	65.8216	1	5	146	1	2016_Loc1
Mo17/PHW30-456 - (2n)-01	2016	1	30	ULA	51.2096	1	5	145	1	2016_Loc1
B73/PHW30-154 - (2n)-01	2016	1	31	ULA	77.6244	1	4	25	1	2016_Loc1
Mo17/PHW30-292 - (2n)-01	2016	1	32	ULA	68.959	1	5	123	1	2016_Loc1
Mo17/PHW30-409 - (2n)-02	2016	1	33	ULA	67.706	1	5	137	1	2016_Loc1
Mo17/PHW30-248 - (2n)-02	2016	1	34	ULA	63.7114	1	5	113	1	2016_Loc1
PHW30/Mo17-160 - (2n)-02	2016	1	36	ULA	52.4058	1	5	279	1	2016_Loc1
PHW30/Mo17-095 - (2n)-02	2016	1	5	ULA	43.923	1	5	255	2	2016_Loc1
Mo17/PHW30-109 - (2n)-01	2016	1	6	ULA	46.2056	1	5	88	2	2016_Loc1
PHW30/B73-289 - (2n)-02	2016	1	7	ULA	65.6028	1	4	191	2	2016_Loc1
Mo17/PHW30-324 - (2n)-01	2016	1	8	ULA	36.0986	1	5	128	2	2016_Loc1
PHW30/Mo17-099 - (2n)-02	2016	1	9	ULA	60.6532	1	5	257	2	2016_Loc1
Mo17/PHW30-279 - (2n)-02	2016	1	10	ULA	59.0672	1	5	121	2	2016_Loc1
Mo17/PHW30-332 - (2n)-02	2016	1	11	ULA	69.1654	1	5	131	2	2016_Loc1
Mo17/PHW30-133 - (2n)-02	2016	1	12	ULA	67.7776	1	5	94	2	2016_Loc1
PHW30/Mo17-187 - (2n)-01	2016	1	13	ULA	79.8098	1	5	288	2	2016_Loc1
PHW30/B73-138 - (2n)-01	2016	1	14	ULA	72.176	1	4	166	2	2016_Loc1
PHW30/Mo17-299 - (2n)-01	2016	1	15	ULA	81.3664	1	5	306	2	2016_Loc1
B73/PHW30-409 - (2n)-02	2016	1	16	ULA	70.5166	1	4	61	2	2016_Loc1
PHW30/Mo17-155 - (2n)-02	2016	1	17	ULA	47.3568	1	5	275	2	2016_Loc1
PHW30/Mo17-157 - (2n)-02	2016	1	18	ULA	67.2928	1	5	277	2	2016_Loc1
B73/PHW30-064 - (2n)-01	2016	1	20	ULA	67.207	1	4	10	2	2016_Loc1
PHW30/B73-002 - (2n)-01	2016	1	21	ULA	63.8124	1	4	147	2	2016_Loc1
Mo17/PHW30-409 - (2n)-01	2016	1	22	ULA	69.8442	1	5	136	2	2016_Loc1
PHW30/Mo17-050 - (2n)-01	2016	1	24	ULA	49.1686	1	5	233	2	2016_Loc1
PHW30/B73-341 - (2n)-02	2016	1	25	ULA	56.3614	1	4	201	2	2016_Loc1
Mo17/PHW30-091 - (2n)-02	2016	1	27	ULA	58.6938	1	5	86	2	2016_Loc1
PHW30/Mo17-051 - (2n)-01	2016	1	28	ULA	61.3504	1	5	235	2	2016_Loc1
PHW30/B73-055 - (2n)-02	2016	1	29	ULA	63.2158	1	4	156	2	2016_Loc1
Mo17/PHW30-133 - (2n)-01	2016	1	30	ULA	43.6384	1	5	93	2	2016_Loc1
PHW30/Mo17-050 - (2n)-02	2016	1	31	ULA	62.8616	1	5	234	2	2016_Loc1
PHW30/B73-289 - (2n)-01	2016	1	32	ULA	56.995	1	4	190	2	2016_Loc1
Mo17/PHW30-309 - (2n)-02	2016	1	33	ULA	72.1186	1	5	125	2	2016_Loc1
PHW30/B73-355 - (2n)-01	2016	1	34	ULA	71.5824	1	4	205	2	2016_Loc1
Mo17/PHW30-126 - (2n)-01	2016	1	35	ULA	56.2444	1	5	91	2	2016_Loc1
PHW30/Mo17-136 - (2n)-02	2016	1	36	ULA	68.7894	1	5	268	2	2016_Loc1
PHW30/B73-349 - (2n)-01	2016	1	5	ULA	80.2042	1	4	202	3	2016_Loc1
Mo17/PHW30-279 - (2n)-01	2016	1	6	ULA	67.8334	1	5	120	3	2016_Loc1
B73/PHW30-068 - (2n)-01	2016	1	7	ULA	69.2758	1	4	12	3	2016_Loc1
PHW30/Mo17-129 - (2n)-01	2016	1	8	ULA	72.1235	1	5	265	3	2016_Loc1
PHW30/B73-066 - (2n)-02	2016	1	9	ULA	67.002	1	4	160	3	2016_Loc1
Mo17/PHW30-217 - (2n)-01	2016	1	10	ULA	59.8052	1	5	106	3	2016_Loc1
PHW30/B73-372 - (2n)-02	2016	1	11	ULA	79.0422	1	4	208	3	2016_Loc1
PHW30/B73-045 - (2n)-01	2016	1	12	ULA	68.0016	1	4	154	3	2016_Loc1
PHW30/Mo17-161 - (2n)-01	2016	1	13	ULA	76.04	1	5	280	3	2016_Loc1
Mo17/PHW30-016 - (2n)-02	2016	1	14	ULA	72.2988	1	5	70	3	2016_Loc1
B73/PHW30-141 - (2n)-01	2016	1	17	ULA	75.8394	1	4	23	3	2016_Loc1
PHW30/Mo17-061 - (2n)-01	2016	1	18	ULA	80.3392	1	5	241	3	2016_Loc1
PHW30/B73-311 - (2n)-01	2016	1	19	ULA	62.8816	1	4	195	3	2016_Loc1
Mo17/PHW30-153 - (2n)-03	2016	1	20	ULA	72.341	1	5	97	3	2016_Loc1
PHW30/B73-324 - (2n)-01	2016	1	21	ULA	72.8878	1	4	197	3	2016_Loc1
PHW30/Mo17-076 - (2n)-02	2016	1	22	ULA	50.59183333	1	5	246	3	2016_Loc1
PHW30/B73-097 - (2n)-01	2016	1	23	ULA	77.971	1	4	163	3	2016_Loc1
PHW30/B73-302 - (2n)-01	2016	1	25	ULA	73.8178	1	4	193	3	2016_Loc1
Mo17/PHW30-200 - (2n)-01	2016	1	26	ULA	76.7594	1	5	104	3	2016_Loc1
B73/PHW30-368 - (2n)-02	2016	1	27	ULA	78.6232	1	4	54	3	2016_Loc1
Mo17/PHW30-126 - (2n)-02	2016	1	28	ULA	46.1664	1	5	92	3	2016_Loc1
Mo17/PHW30-275 - (2n)-01	2016	1	29	ULA	68.7142	1	5	118	3	2016_Loc1
Mo17/PHW30-429 - (2n)-01	2016	1	30	ULA	59.7148	1	5	138	3	2016_Loc1
Mo17/PHW30-075 - (2n)-01	2016	1	31	ULA	57.8404	1	5	73	3	2016_Loc1
PHW30/Mo17-297 - (2n)-01	2016	1	32	ULA	66.4302	1	5	304	3	2016_Loc1
B73/PHW30-396 - (2n)-02	2016	1	33	ULA	63.1888	1	4	59	3	2016_Loc1
B73/PHW30-392 - (2n)-01	2016	1	34	ULA	77.7308	1	4	57	3	2016_Loc1
PHW30/B73-372 - (2n)-01	2016	1	35	ULA	66.4948	1	4	207	3	2016_Loc1
PHW30/Mo17-113 - (2n)-01	2016	1	36	ULA	79.459	1	5	263	3	2016_Loc1
B73/PHW30-163 - (2n)-02	2016	1	6	ULA	75.1556	1	4	27	4	2016_Loc1
PHW30/B73-287 - (2n)-01	2016	1	7	ULA	73.801	1	4	188	4	2016_Loc1
Mo17/PHW30-262 - (2n)-01	2016	1	8	ULA	60.7242	1	5	116	4	2016_Loc1
PHW30/B73-351 - (2n)-02	2016	1	9	ULA	55.173	1	4	204	4	2016_Loc1
PHW30/Mo17-107 - (2n)-01	2016	1	10	ULA	75.5942	1	5	260	4	2016_Loc1
PHW30/Mo17-059 - (2n)-02	2016	1	11	ULA	74.0352	1	5	240	4	2016_Loc1
PHW30/Mo17-165 - (2n)-02	2016	1	12	ULA	49.424	1	5	283	4	2016_Loc1
Mo17/PHW30-091 - (2n)-01	2016	1	13	ULA	55.4542	1	5	85	4	2016_Loc1
B73/PHW30-258 - (2n)-01	2016	1	14	ULA	76.20475	1	4	44	4	2016_Loc1
PHW30/Mo17-195 - (2n)-02	2016	1	15	ULA	36.4534	1	5	294	4	2016_Loc1
PHW30/B73-434 - (2n)-02	2016	1	16	ULA	73.6906	1	4	216	4	2016_Loc1
PHW30/Mo17-166 - (2n)-01	2016	1	17	ULA	78.8448	1	5	284	4	2016_Loc1
B73/PHW30-409 - (2n)-01	2016	1	18	ULA	47.563	1	4	60	4	2016_Loc1
B73/PHW30-102 - (2n)-03	2016	1	19	ULA	76.0695	1	4	22	4	2016_Loc1
B73/PHW30-302 - (2n)-01	2016	1	20	ULA	77.0124	1	4	49	4	2016_Loc1
PHW30/Mo17-054 - (2n)-02	2016	1	21	ULA	77.6666	1	5	238	4	2016_Loc1
Mo17/PHW30-016 - (2n)-01	2016	1	22	ULA	65.901	1	5	69	4	2016_Loc1
Mo17/PHW30-455 - (2n)-01	2016	1	23	ULA	66.9196	1	5	144	4	2016_Loc1
PHW30/B73-241 - (2n)-02	2016	1	24	ULA	62.2038	1	4	185	4	2016_Loc1
PHW30/Mo17-026 - (2n)-02	2016	1	25	ULA	67.5034	1	5	223	4	2016_Loc1
PHW30/Mo17-308 - (2n)-02	2016	1	26	ULA	78.3646	1	5	310	4	2016_Loc1
PHW30/Mo17-178 - (2n)-02	2016	1	27	ULA	76.6515	1	5	286	4	2016_Loc1
PHW30/B73-326 - (2n)-01	2016	1	29	ULA	80.2982	1	4	198	4	2016_Loc1
PHW30/B73-121 - (2n)-01	2016	1	30	ULA	74.42333333	1	4	165	4	2016_Loc1
Mo17/PHW30-084 - (2n)-02	2016	1	32	ULA	59.5592	1	5	80	4	2016_Loc1
PHW30/B73-015 - (2n)-02	2016	1	33	ULA	58.023	1	4	152	4	2016_Loc1
Mo17/PHW30-008 - (2n)-01	2016	1	34	ULA	66.1666	1	5	64	4	2016_Loc1
B73/PHW30-256 - (2n)-01	2016	1	35	ULA	79.463	1	4	43	4	2016_Loc1
B73/PHW30-385 - (2n)-03	2016	1	36	ULA	66.469	1	4	56	4	2016_Loc1
Mo17/PHW30-332 - (2n)-01	2016	1	5	ULA	72.5212	1	5	130	5	2016_Loc1
Mo17/PHW30-084 - (2n)-01	2016	1	6	ULA	41.5728	1	5	79	5	2016_Loc1
Mo17/PHW30-235 - (2n)-02	2016	1	7	ULA	61.8466	1	5	111	5	2016_Loc1
