Coded_Trait	Effect	Env	Pop	Gen2	Grp	Estimate
1	Intercept	_	_	_	_	82.7497
1	Env	2016_Loc1	_	_	_	0.3947
1	Env	2016_Loc2	_	_	_	-4.0752
1	Env	2017_Loc1	_	_	_	-1.6482
1	Env	2017_Loc2	_	_	_	-2.5182
1	Env	2018_Loc1	_	_	_	0
1	Grp	_	_	_	1	-2.153
1	Grp	_	_	_	2	-30.0268
1	Grp	_	_	_	3	-8.4256
1	Grp	_	_	_	999	0
1	Env*Grp	2016_Loc1	_	_	1	-5.0487
1	Env*Grp	2016_Loc1	_	_	2	-0.9034
1	Env*Grp	2016_Loc1	_	_	3	1.3373
1	Env*Grp	2016_Loc1	_	_	999	0
1	Env*Grp	2016_Loc2	_	_	1	1.6653
1	Env*Grp	2016_Loc2	_	_	2	2.0012
1	Env*Grp	2016_Loc2	_	_	3	3.9417
1	Env*Grp	2016_Loc2	_	_	999	0
1	Env*Grp	2017_Loc1	_	_	1	0.689
1	Env*Grp	2017_Loc1	_	_	2	2.2182
1	Env*Grp	2017_Loc1	_	_	3	2.7145
1	Env*Grp	2017_Loc1	_	_	999	0
1	Env*Grp	2017_Loc2	_	_	1	2.1962
1	Env*Grp	2017_Loc2	_	_	2	2.5128
1	Env*Grp	2017_Loc2	_	_	3	5.3376
1	Env*Grp	2017_Loc2	_	_	999	0
1	Env*Grp	2018_Loc1	_	_	1	0
1	Env*Grp	2018_Loc1	_	_	2	0
1	Env*Grp	2018_Loc1	_	_	3	0
1	Env*Grp	2018_Loc1	_	_	999	0
1	Switch*Pop*Grp	_	1	_	999	9.4543
1	Switch*Pop*Grp	_	2	_	999	0
1	Switch*Pop*Grp	_	3	_	1	0
1	Switch*Pop*Grp	_	3	_	2	0
1	Switch*Pop*Grp	_	3	_	3	0
1	Switch*Env*Pop*Grp	2016_Loc1	1	_	999	-19.0049
1	Switch*Env*Pop*Grp	2016_Loc1	2	_	999	0
1	Switch*Env*Pop*Grp	2016_Loc1	3	_	1	0
1	Switch*Env*Pop*Grp	2016_Loc1	3	_	2	0
1	Switch*Env*Pop*Grp	2016_Loc1	3	_	3	0
1	Switch*Env*Pop*Grp	2016_Loc2	1	_	999	-16.3696
1	Switch*Env*Pop*Grp	2016_Loc2	2	_	999	0
1	Switch*Env*Pop*Grp	2016_Loc2	3	_	1	0
1	Switch*Env*Pop*Grp	2016_Loc2	3	_	2	0
1	Switch*Env*Pop*Grp	2016_Loc2	3	_	3	0
1	Switch*Env*Pop*Grp	2017_Loc1	1	_	999	-11.321
1	Switch*Env*Pop*Grp	2017_Loc1	2	_	999	0
1	Switch*Env*Pop*Grp	2017_Loc1	3	_	1	0
1	Switch*Env*Pop*Grp	2017_Loc1	3	_	2	0
1	Switch*Env*Pop*Grp	2017_Loc1	3	_	3	0
1	Switch*Env*Pop*Grp	2017_Loc2	1	_	999	-10.9656
1	Switch*Env*Pop*Grp	2017_Loc2	2	_	999	0
1	Switch*Env*Pop*Grp	2017_Loc2	3	_	1	0
1	Switch*Env*Pop*Grp	2017_Loc2	3	_	2	0
1	Switch*Env*Pop*Grp	2017_Loc2	3	_	3	0
1	Switch*Env*Pop*Grp	2018_Loc1	1	_	999	0
1	Switch*Env*Pop*Grp	2018_Loc1	2	_	999	0
1	Switch*Env*Pop*Grp	2018_Loc1	3	_	1	0
1	Switch*Env*Pop*Grp	2018_Loc1	3	_	2	0
1	Switch*Env*Pop*Grp	2018_Loc1	3	_	3	0
1	Switch*Gen2*Grp(Pop)	_	1	4	999	-11.7743
1	Switch*Gen2*Grp(Pop)	_	1	5	999	-21.2478
1	Switch*Gen2*Grp(Pop)	_	1	6	999	-15.1807
1	Switch*Gen2*Grp(Pop)	_	1	7	999	-24.2188
1	Switch*Gen2*Grp(Pop)	_	1	8	999	-14.248
1	Switch*Gen2*Grp(Pop)	_	1	9	999	-24.4692
1	Switch*Gen2*Grp(Pop)	_	1	10	999	-14.0718
1	Switch*Gen2*Grp(Pop)	_	1	11	999	-17.9555
1	Switch*Gen2*Grp(Pop)	_	1	12	999	-19.9014
1	Switch*Gen2*Grp(Pop)	_	1	13	999	-22.3764
1	Switch*Gen2*Grp(Pop)	_	1	14	999	-13.6077
1	Switch*Gen2*Grp(Pop)	_	1	15	999	-34.2487
1	Switch*Gen2*Grp(Pop)	_	1	16	999	-24.3097
1	Switch*Gen2*Grp(Pop)	_	1	17	999	-23.7484
1	Switch*Gen2*Grp(Pop)	_	1	18	999	-16.5003
1	Switch*Gen2*Grp(Pop)	_	1	19	999	-9.739
1	Switch*Gen2*Grp(Pop)	_	1	20	999	-9.1422
1	Switch*Gen2*Grp(Pop)	_	1	21	999	-11.9019
1	Switch*Gen2*Grp(Pop)	_	1	22	999	-13.8218
1	Switch*Gen2*Grp(Pop)	_	1	23	999	-12.4732
1	Switch*Gen2*Grp(Pop)	_	1	24	999	-30.2598
1	Switch*Gen2*Grp(Pop)	_	1	25	999	-11.1506
1	Switch*Gen2*Grp(Pop)	_	1	26	999	-16.0882
1	Switch*Gen2*Grp(Pop)	_	1	27	999	-17.0175
1	Switch*Gen2*Grp(Pop)	_	1	28	999	-9.6235
1	Switch*Gen2*Grp(Pop)	_	1	29	999	-9.6978
1	Switch*Gen2*Grp(Pop)	_	1	30	999	-10.5532
1	Switch*Gen2*Grp(Pop)	_	1	31	999	-10.4007
1	Switch*Gen2*Grp(Pop)	_	1	32	999	-19.8909
1	Switch*Gen2*Grp(Pop)	_	1	33	999	-10.1815
1	Switch*Gen2*Grp(Pop)	_	1	34	999	-17.1722
1	Switch*Gen2*Grp(Pop)	_	1	35	999	-27.4785
1	Switch*Gen2*Grp(Pop)	_	1	36	999	-21.7848
1	Switch*Gen2*Grp(Pop)	_	1	37	999	-14.6164
1	Switch*Gen2*Grp(Pop)	_	1	38	999	-13.2476
1	Switch*Gen2*Grp(Pop)	_	1	39	999	-13.2494
1	Switch*Gen2*Grp(Pop)	_	1	40	999	-15.344
1	Switch*Gen2*Grp(Pop)	_	1	41	999	-9.7445
1	Switch*Gen2*Grp(Pop)	_	1	42	999	-9.6845
1	Switch*Gen2*Grp(Pop)	_	1	43	999	-8.1157
1	Switch*Gen2*Grp(Pop)	_	1	44	999	-10.138
1	Switch*Gen2*Grp(Pop)	_	1	45	999	-14.8902
1	Switch*Gen2*Grp(Pop)	_	1	46	999	-17.9144
1	Switch*Gen2*Grp(Pop)	_	1	47	999	-6.2012
1	Switch*Gen2*Grp(Pop)	_	1	48	999	-8.2553
1	Switch*Gen2*Grp(Pop)	_	1	49	999	-13.7434
1	Switch*Gen2*Grp(Pop)	_	1	50	999	-26.9674
1	Switch*Gen2*Grp(Pop)	_	1	51	999	-9.2702
1	Switch*Gen2*Grp(Pop)	_	1	52	999	-25.0967
1	Switch*Gen2*Grp(Pop)	_	1	53	999	-14.7352
1	Switch*Gen2*Grp(Pop)	_	1	54	999	-12.0189
1	Switch*Gen2*Grp(Pop)	_	1	55	999	-16.7192
1	Switch*Gen2*Grp(Pop)	_	1	56	999	-15.0008
1	Switch*Gen2*Grp(Pop)	_	1	57	999	-13.9378
1	Switch*Gen2*Grp(Pop)	_	1	58	999	-13.5649
1	Switch*Gen2*Grp(Pop)	_	1	59	999	-23.5091
1	Switch*Gen2*Grp(Pop)	_	1	60	999	-35.2894
1	Switch*Gen2*Grp(Pop)	_	1	61	999	-22.4564
1	Switch*Gen2*Grp(Pop)	_	1	62	999	-17.0696
1	Switch*Gen2*Grp(Pop)	_	1	63	999	-24.6919
1	Switch*Gen2*Grp(Pop)	_	1	147	999	-17.2197
1	Switch*Gen2*Grp(Pop)	_	1	148	999	-26.2097
1	Switch*Gen2*Grp(Pop)	_	1	149	999	-21.7595
1	Switch*Gen2*Grp(Pop)	_	1	150	999	-18.6924
1	Switch*Gen2*Grp(Pop)	_	1	151	999	-26.7503
1	Switch*Gen2*Grp(Pop)	_	1	152	999	-31.1656
1	Switch*Gen2*Grp(Pop)	_	1	153	999	-24.1892
1	Switch*Gen2*Grp(Pop)	_	1	154	999	-24.9575
1	Switch*Gen2*Grp(Pop)	_	1	155	999	-26.3206
1	Switch*Gen2*Grp(Pop)	_	1	156	999	-28.1597
1	Switch*Gen2*Grp(Pop)	_	1	157	999	-16.6137
1	Switch*Gen2*Grp(Pop)	_	1	158	999	-20.6225
1	Switch*Gen2*Grp(Pop)	_	1	159	999	-13.8033
1	Switch*Gen2*Grp(Pop)	_	1	160	999	-17.0155
1	Switch*Gen2*Grp(Pop)	_	1	161	999	-12.3993
1	Switch*Gen2*Grp(Pop)	_	1	162	999	-11.655
1	Switch*Gen2*Grp(Pop)	_	1	163	999	-16.3318
1	Switch*Gen2*Grp(Pop)	_	1	164	999	-9.2582
1	Switch*Gen2*Grp(Pop)	_	1	165	999	-15.2329
1	Switch*Gen2*Grp(Pop)	_	1	166	999	-16.1649
1	Switch*Gen2*Grp(Pop)	_	1	167	999	-16.2608
1	Switch*Gen2*Grp(Pop)	_	1	168	999	-18.2654
1	Switch*Gen2*Grp(Pop)	_	1	169	999	-30.6997
1	Switch*Gen2*Grp(Pop)	_	1	170	999	-26.9131
1	Switch*Gen2*Grp(Pop)	_	1	171	999	-20.4295
1	Switch*Gen2*Grp(Pop)	_	1	172	999	-25.1232
1	Switch*Gen2*Grp(Pop)	_	1	173	999	-29.878
1	Switch*Gen2*Grp(Pop)	_	1	174	999	-24.3815
1	Switch*Gen2*Grp(Pop)	_	1	175	999	-22.9138
1	Switch*Gen2*Grp(Pop)	_	1	176	999	-13.7499
1	Switch*Gen2*Grp(Pop)	_	1	177	999	-36.9084
1	Switch*Gen2*Grp(Pop)	_	1	178	999	-7.5781
1	Switch*Gen2*Grp(Pop)	_	1	179	999	-13.8959
1	Switch*Gen2*Grp(Pop)	_	1	180	999	-39.4823
1	Switch*Gen2*Grp(Pop)	_	1	181	999	-30.4546
1	Switch*Gen2*Grp(Pop)	_	1	182	999	-13.2894
1	Switch*Gen2*Grp(Pop)	_	1	183	999	-21.8944
1	Switch*Gen2*Grp(Pop)	_	1	184	999	-11.8894
1	Switch*Gen2*Grp(Pop)	_	1	185	999	-29.6785
1	Switch*Gen2*Grp(Pop)	_	1	186	999	-17.553
1	Switch*Gen2*Grp(Pop)	_	1	187	999	-22.5533
1	Switch*Gen2*Grp(Pop)	_	1	188	999	-15.0267
1	Switch*Gen2*Grp(Pop)	_	1	189	999	-19.9961
1	Switch*Gen2*Grp(Pop)	_	1	190	999	-19.8042
1	Switch*Gen2*Grp(Pop)	_	1	191	999	-27.1704
1	Switch*Gen2*Grp(Pop)	_	1	192	999	-24.622
1	Switch*Gen2*Grp(Pop)	_	1	193	999	-18.2263
1	Switch*Gen2*Grp(Pop)	_	1	194	999	-15.1771
1	Switch*Gen2*Grp(Pop)	_	1	195	999	-21.9022
1	Switch*Gen2*Grp(Pop)	_	1	196	999	-11.9742
1	Switch*Gen2*Grp(Pop)	_	1	197	999	-13.2802
1	Switch*Gen2*Grp(Pop)	_	1	198	999	-14.4372
1	Switch*Gen2*Grp(Pop)	_	1	199	999	-12.6161
1	Switch*Gen2*Grp(Pop)	_	1	200	999	-21.5278
1	Switch*Gen2*Grp(Pop)	_	1	201	999	-34.2265
1	Switch*Gen2*Grp(Pop)	_	1	202	999	-10.3437
1	Switch*Gen2*Grp(Pop)	_	1	203	999	-30.5828
1	Switch*Gen2*Grp(Pop)	_	1	204	999	-28.8222
1	Switch*Gen2*Grp(Pop)	_	1	205	999	-17.2572
1	Switch*Gen2*Grp(Pop)	_	1	206	999	-17.6129
1	Switch*Gen2*Grp(Pop)	_	1	207	999	-16.7132
1	Switch*Gen2*Grp(Pop)	_	1	208	999	-10.5416
