Coded_Trait	Effect	Env	Grp	Estimate
1	Intercept	_	_	67.4578
1	Env	2016_Loc1	_	-0.4634
1	Env	2016_Loc2	_	-1.2926
1	Env	2017_Loc1	_	-0.9361
1	Env	2017_Loc2	_	0.7911
1	Env	2018_Loc1	_	0
1	Grp	_	1	13.139
1	Grp	_	2	-14.7349
1	Grp	_	3	6.8663
1	Grp	_	999	0
1	Env*Grp	2016_Loc1	1	-4.1906
1	Env*Grp	2016_Loc1	2	-0.04526
1	Env*Grp	2016_Loc1	3	2.1954
1	Env*Grp	2016_Loc1	999	0
1	Env*Grp	2016_Loc2	1	-1.1173
1	Env*Grp	2016_Loc2	2	-0.7814
1	Env*Grp	2016_Loc2	3	1.159
1	Env*Grp	2016_Loc2	999	0
1	Env*Grp	2017_Loc1	1	-0.02311
1	Env*Grp	2017_Loc1	2	1.5062
1	Env*Grp	2017_Loc1	3	2.0024
1	Env*Grp	2017_Loc1	999	0
1	Env*Grp	2017_Loc2	1	-1.1132
1	Env*Grp	2017_Loc2	2	-0.7965
1	Env*Grp	2017_Loc2	3	2.0283
1	Env*Grp	2017_Loc2	999	0
1	Env*Grp	2018_Loc1	1	0
1	Env*Grp	2018_Loc1	2	0
1	Env*Grp	2018_Loc1	3	0
1	Env*Grp	2018_Loc1	999	0
2	Intercept	_	_	70.7129
2	Env	2017_Loc1	_	-1.977
2	Env	2017_Loc2	_	1.417
2	Env	2018_Loc1	_	0
2	Grp	_	1	6.5993
2	Grp	_	2	-9.5636
2	Grp	_	3	6.9738
2	Grp	_	999	0
2	Env*Grp	2017_Loc1	1	-1.5035
2	Env*Grp	2017_Loc1	2	-0.3911
2	Env*Grp	2017_Loc1	3	0.8806
2	Env*Grp	2017_Loc1	999	0
2	Env*Grp	2017_Loc2	1	-0.5554
2	Env*Grp	2017_Loc2	2	-5.1794
2	Env*Grp	2017_Loc2	3	3.3449
2	Env*Grp	2017_Loc2	999	0
2	Env*Grp	2018_Loc1	1	0
2	Env*Grp	2018_Loc1	2	0
2	Env*Grp	2018_Loc1	3	0
2	Env*Grp	2018_Loc1	999	0
3	Intercept	_	_	69.3227
3	Env	2017_Loc1	_	-1.8814
3	Env	2017_Loc2	_	2.8001
3	Env	2018_Loc1	_	0
3	Grp	_	1	0.6666
3	Grp	_	2	-5.0573
3	Grp	_	3	7.5533
3	Grp	_	999	0
3	Env*Grp	2017_Loc1	1	0.8771
3	Env*Grp	2017_Loc1	2	0.7716
3	Env*Grp	2017_Loc1	3	0.6024
3	Env*Grp	2017_Loc1	999	0
3	Env*Grp	2017_Loc2	1	2.1538
3	Env*Grp	2017_Loc2	2	-7.5843
3	Env*Grp	2017_Loc2	3	1.1795
3	Env*Grp	2017_Loc2	999	0
3	Env*Grp	2018_Loc1	1	0
3	Env*Grp	2018_Loc1	2	0
3	Env*Grp	2018_Loc1	3	0
3	Env*Grp	2018_Loc1	999	0
4	Intercept	_	_	67.3592
4	Env	2016_Loc1	_	-2.1354
4	Env	2016_Loc2	_	-0.7159
4	Env	2017_Loc1	_	-2.2678
4	Env	2017_Loc2	_	1.2826
4	Env	2018_Loc1	_	0
4	Grp	_	1	-7.3985
4	Grp	_	2	-5.7674
4	Grp	_	3	5.889
4	Grp	_	999	0
4	Env*Grp	2016_Loc1	1	1.2805
4	Env*Grp	2016_Loc1	2	-7.6497
4	Env*Grp	2016_Loc1	3	3.4627
4	Env*Grp	2016_Loc1	999	0
4	Env*Grp	2016_Loc2	1	2.117
4	Env*Grp	2016_Loc2	2	-4.0043
4	Env*Grp	2016_Loc2	3	1.4936
4	Env*Grp	2016_Loc2	999	0
4	Env*Grp	2017_Loc1	1	3.5185
4	Env*Grp	2017_Loc1	2	-3.32
4	Env*Grp	2017_Loc1	3	1.9168
4	Env*Grp	2017_Loc1	999	0
4	Env*Grp	2017_Loc2	1	5.6527
4	Env*Grp	2017_Loc2	2	-9.086
4	Env*Grp	2017_Loc2	3	0.9994
4	Env*Grp	2017_Loc2	999	0
4	Env*Grp	2018_Loc1	1	0
4	Env*Grp	2018_Loc1	2	0
4	Env*Grp	2018_Loc1	3	0
4	Env*Grp	2018_Loc1	999	0
5	Intercept	_	_	0.4935
5	Env	2017_Loc1	_	-0.3302
5	Env	2017_Loc2	_	-1.003
5	Env	2018_Loc1	_	0
5	Grp	_	1	2.8046
5	Grp	_	2	-1.1534
5	Grp	_	3	-2.6926
5	Grp	_	999	0
5	Env*Grp	2017_Loc1	1	0.2149
5	Env*Grp	2017_Loc1	2	-0.3385
5	Env*Grp	2017_Loc1	3	1.7436
5	Env*Grp	2017_Loc1	999	0
5	Env*Grp	2017_Loc2	1	0.751
5	Env*Grp	2017_Loc2	2	-1.8094
5	Env*Grp	2017_Loc2	3	0.9582
5	Env*Grp	2017_Loc2	999	0
5	Env*Grp	2018_Loc1	1	0
5	Env*Grp	2018_Loc1	2	0
5	Env*Grp	2018_Loc1	3	0
5	Env*Grp	2018_Loc1	999	0
6	Intercept	_	_	68.4896
6	Env	2017_Loc1	_	-2.0485
6	Env	2017_Loc2	_	1.7344
6	Env	2018_Loc1	_	0
6	Grp	_	1	-1.8394
6	Grp	_	2	-6.5042
6	Grp	_	3	6.6304
6	Grp	_	999	0
6	Env*Grp	2017_Loc1	1	1.7463
6	Env*Grp	2017_Loc1	2	-1.4283
6	Env*Grp	2017_Loc1	3	1.3476
6	Env*Grp	2017_Loc1	999	0
6	Env*Grp	2017_Loc2	1	3.3154
6	Env*Grp	2017_Loc2	2	-7.6635
6	Env*Grp	2017_Loc2	3	1.4926
6	Env*Grp	2017_Loc2	999	0
6	Env*Grp	2018_Loc1	1	0
6	Env*Grp	2018_Loc1	2	0
6	Env*Grp	2018_Loc1	3	0
6	Env*Grp	2018_Loc1	999	0
7	Intercept	_	_	0.1201
7	Env	2017_Loc1	_	0.1686
7	Env	2017_Loc2	_	-0.1019
7	Env	2018_Loc1	_	0
7	Grp	_	1	2.9167
7	Grp	_	2	-1.2932
7	Grp	_	3	0.1163
7	Grp	_	999	0
7	Env*Grp	2017_Loc1	1	-0.595
