Coded_Trait	CovParm	Estimate	StdErr	ZValue	ProbZ
1	Range(Env)	0.1886	0.1563	1.21	0.1138
1	Switch*Pop*Grp	46.628	67.3172	0.69	0.2443
1	Switch*Env*Pop*Grp	2.013	1.5063	1.34	0.0907
1	Switch*Gen2*Grp(Pop)	82.1643	6.9192	11.87	0.0001
1	Swi*Env*Gen*Grp(Pop)	10.516	1.0889	9.66	0.0001
1	Residual	6.8481	0.8271	8.28	0.0001
2	Range(Env)	0.07338	0.144	0.51	0.3051
2	Switch*Pop*Grp	11.3359	16.5977	0.68	0.2473
2	Switch*Env*Pop*Grp	0.1893	0.2804	0.67	0.2499
2	Switch*Gen2*Grp(Pop)	46.2011	4.1195	11.22	0.0001
2	Swi*Env*Gen*Grp(Pop)	7.2207	1.2766	5.66	0.0001
2	Residual	6.4417	1.0156	6.34	0.0001
3	Range(Env)	0.2169	0.1741	1.25	0.1063
3	Switch*Pop*Grp	0.1	0.688	0.15	0.4422
3	Switch*Env*Pop*Grp	0.4646	0.5478	0.85	0.1982
3	Switch*Gen2*Grp(Pop)	28.2195	2.6368	10.7	0.0001
3	Swi*Env*Gen*Grp(Pop)	6.0758	1.2495	4.86	0.0001
3	Residual	6.4058	1.0246	6.25	0.0001
4	Range(Env)	0.2261	0.1169	1.93	0.0266
4	Switch*Pop*Grp	0.7545	1.5814	0.48	0.3166
4	Switch*Env*Pop*Grp	0.8013	0.6125	1.31	0.0954
4	Switch*Gen2*Grp(Pop)	28.1635	2.4325	11.58	0.0001
4	Swi*Env*Gen*Grp(Pop)	4.1862	0.7708	5.43	0.0001
4	Residual	5.4436	0.668	8.15	0.0001
5	Range(Env)	0	.	.	.
5	Switch*Pop*Grp	0.3934	0.5853	0.67	0.2508
5	Switch*Env*Pop*Grp	0	.	.	.
5	Switch*Gen2*Grp(Pop)	1.4084	0.2677	5.26	0.0001
5	Swi*Env*Gen*Grp(Pop)	1.6312	0.6012	2.71	0.0033
5	Residual	3.419	0.5276	6.48	0.0001
6	Range(Env)	0.1981	0.1155	1.72	0.0431
6	Switch*Pop*Grp	0	.	.	.
6	Switch*Env*Pop*Grp	0.4931	0.4947	1	0.1594
6	Switch*Gen2*Grp(Pop)	27.4193	2.3821	11.51	0.0001
6	Swi*Env*Gen*Grp(Pop)	3.3405	0.5542	6.03	0.0001
6	Residual	2.6477	0.4355	6.08	0.0001
7	Range(Env)	0.003183	0.006096	0.52	0.3008
7	Switch*Pop*Grp	1.3947	2.048	0.68	0.2479
7	Switch*Env*Pop*Grp	0.1337	0.1373	0.97	0.1649
7	Switch*Gen2*Grp(Pop)	1.1029	0.1038	10.62	0.0001
7	Swi*Env*Gen*Grp(Pop)	0.2175	0.05691	3.82	0.0001
7	Residual	0.309	0.04824	6.41	0.0001
8	Range(Env)	0.1968	0.1058	1.86	0.0314
8	Switch*Pop*Grp	6.7898	9.9923	0.68	0.2484
8	Switch*Env*Pop*Grp	0.05277	0.09217	0.57	0.2835
8	Switch*Gen2*Grp(Pop)	36.9044	3.1442	11.74	0.0001
8	Swi*Env*Gen*Grp(Pop)	4.1795	0.4424	9.45	0.0001
8	Residual	1.6543	0.2843	5.82	0.0001
