Trait	Pedigree	Avg	Max	Min	SD	n
Avg_LA	B73_Mo17	73.67325	73.67325	73.67325	NA	1
Avg_LA	B73_PHW30	69.94947222222221	71.84275	67.235875	2.4105014643443985	3
Avg_LA	Mo17_PHW30	64.09202777777777	68.31254166666666	60.977125	3.790628755913986	3
Avg_LA	PHW30_B73	70.71955128205128	71.58470833333334	70.23429166666666	0.7510977564564193	3
Avg_LA	PHW30_Mo17	64.40310256410257	66.70980769230769	61.812666666666665	2.460868732441925	3
FUELA	B73_Mo17	71.25366666666667	75.135	66.28	4.527433084357333	3
FUELA	B73_PHW30	69.91761111111111	73.177	64.7295	2.9079944633047554	9
FUELA	Mo17_PHW30	66.17944444444444	71.459	60.3595	3.2365973301876436	9
FUELA	PHW30_B73	67.16527777777777	72.945	58.1165	4.723729214767125	9
FUELA	PHW30_Mo17	69.388	72.1955	64.4935	2.38010930683866	9
MLA	B73_Mo17	66.50866666666667	73.6085	58.263	7.736652576103789	3
MLA	B73_PHW30	64.1505	76.882	60.0295	5.399043144391423	9
MLA	Mo17_PHW30	65.98366666666666	72.9105	59.0495	4.238798259825537	9
MLA	PHW30_B73	64.74322222222223	71.943	60.81	3.775133674049759	9
MLA	PHW30_Mo17	63.14795	68.9555	58.826	2.644855314778317	10
TUELA	B73_Mo17	78.95316666666666	81.5755	76.996	2.36109933787915	3
TUELA	B73_PHW30	71.23233333333333	78.2495	65.814	4.966093661017682	9
TUELA	Mo17_PHW30	62.95411111111111	69.7	57.7515	3.8887512116502276	9
TUELA	PHW30_B73	72.90827777777778	76.6	69.7585	2.4455910981692	9
TUELA	PHW30_Mo17	65.30888888888889	71.8115	57.7145	4.31166059785683	9
ULA	B73_Mo17	77.9775	81.1945	75.731	2.8581218920822855	3
ULA	B73_PHW30	74.49744444444444	78.006	67.9155	3.0083934920116073	9
ULA	Mo17_PHW30	61.25088888888889	69.396	53.377	6.520782630260812	9
ULA	PHW30_B73	77.28925	81.934	74.5865	2.4818783237477393	10
ULA	PHW30_Mo17	60.163333333333334	66.8855	53.3985	5.669949404536164	9
lin_a	B73_Mo17	70.44994080996885	70.44994080996885	70.44994080996885	NA	1
lin_a	B73_PHW30	67.45338161993772	69.85750311526482	65.14479127725858	2.357807852193586	3
lin_a	Mo17_PHW30	65.3556458982347	68.81370404984426	63.3758816199377	3.0052442124898606	3
lin_a	PHW30_B73	67.30835304736802	68.900031152648	65.41875384615385	1.7596564027473534	3
lin_a	PHW30_Mo17	65.05825619068918	66.8002825907591	63.53107943925234	1.6451573146947833	3
lin_b1	B73_Mo17	1.841890965732087	1.841890965732087	1.841890965732087	NA	1
lin_b1	B73_PHW30	1.426337487019729	1.9496806853582547	1.1344267912772577	0.45423615047347554	3
lin_b1	Mo17_PHW30	-0.7220674974039464	-0.2863785046728976	-1.3707180685358258	0.57268014444875	3
lin_b1	PHW30_B73	1.8320918483904463	2.4604500000000002	1.5017242990654203	0.5444148617511715	3
lin_b1	PHW30_Mo17	-0.3777748128784841	-0.0619038778877886	-0.9819501557632396	0.5234127072076836	3
