RecId	Pedigree	Year	Loc	Range	Pass	Trait	Value
3699201	PHW30/B73-184 - (2n)-02	2017	1	2	9	FUELA	66.99566667
3699201	PHW30/B73-184 - (2n)-02	2017	1	2	9	MLA	53.76133333
3699201	PHW30/B73-184 - (2n)-02	2017	1	2	9	TUELA	69.68866667
3699201	PHW30/B73-184 - (2n)-02	2017	1	2	9	ULA	64.37016667
3699202	PHW30/B73-097 - (2n)-02	2017	1	2	10	FUELA	78.63933333
3699202	PHW30/B73-097 - (2n)-02	2017	1	2	10	MLA	75.40916667
3699202	PHW30/B73-097 - (2n)-02	2017	1	2	10	TUELA	82.55366667
3699202	PHW30/B73-097 - (2n)-02	2017	1	2	10	ULA	84.01616667
3699203	PHW30/B73-421 - (2n)-03	2017	1	2	11	FUELA	77.2705
3699203	PHW30/B73-421 - (2n)-03	2017	1	2	11	MLA	53.551
3699203	PHW30/B73-421 - (2n)-03	2017	1	2	11	TUELA	77.65766667
3699203	PHW30/B73-421 - (2n)-03	2017	1	2	11	ULA	79.61
3699204	PHW30/B73-401 - (2n)-02	2017	1	2	12	FUELA	64.24383333
3699204	PHW30/B73-401 - (2n)-02	2017	1	2	12	MLA	61.78383333
3699204	PHW30/B73-401 - (2n)-02	2017	1	2	12	TUELA	61.1725
3699204	PHW30/B73-401 - (2n)-02	2017	1	2	12	ULA	55.6495
3699205	PHW30/Mo17-195 - (2n)-01	2017	1	2	13	FUELA	48.1695
3699205	PHW30/Mo17-195 - (2n)-01	2017	1	2	13	MLA	49.12116667
3699205	PHW30/Mo17-195 - (2n)-01	2017	1	2	13	TUELA	43.01766667
3699205	PHW30/Mo17-195 - (2n)-01	2017	1	2	13	ULA	34.97316667
3699206	PHW30/Mo17-113 - (2n)-01	2017	1	2	14	FUELA	81.62666667
3699206	PHW30/Mo17-113 - (2n)-01	2017	1	2	14	MLA	73.65816667
3699206	PHW30/Mo17-113 - (2n)-01	2017	1	2	14	TUELA	85.874
3699206	PHW30/Mo17-113 - (2n)-01	2017	1	2	14	ULA	86.27433333
3699207	PHW30/Mo17-032 - (2n)-01	2017	1	2	15	FUELA	66.103
3699207	PHW30/Mo17-032 - (2n)-01	2017	1	2	15	MLA	65.52116667
3699207	PHW30/Mo17-032 - (2n)-01	2017	1	2	15	TUELA	71.84433333
3699207	PHW30/Mo17-032 - (2n)-01	2017	1	2	15	ULA	77.15483333
3699208	PHW30/Mo17-129 - (2n)-02	2017	1	2	16	FUELA	70.034
3699208	PHW30/Mo17-129 - (2n)-02	2017	1	2	16	MLA	79.687
3699208	PHW30/Mo17-129 - (2n)-02	2017	1	2	16	TUELA	54.1065
3699208	PHW30/Mo17-129 - (2n)-02	2017	1	2	16	ULA	40.604
3699209	Mo17/PHW30-341 - (2n)-01	2017	1	2	17	FUELA	71.50625
3699209	Mo17/PHW30-341 - (2n)-01	2017	1	2	17	MLA	57.80333333
3699209	Mo17/PHW30-341 - (2n)-01	2017	1	2	17	TUELA	70.34633333
3699209	Mo17/PHW30-341 - (2n)-01	2017	1	2	17	ULA	63.38966667
3699210	Mo17/PHW30-075 - (2n)-01	2017	1	2	18	FUELA	69.09466667
3699210	Mo17/PHW30-075 - (2n)-01	2017	1	2	18	MLA	66.09966667
3699210	Mo17/PHW30-075 - (2n)-01	2017	1	2	18	TUELA	66.66966667
3699210	Mo17/PHW30-075 - (2n)-01	2017	1	2	18	ULA	67.312
3699211	PHW30/Mo17-064 - (2n)-02	2017	1	2	19	FUELA	77.99833333
3699211	PHW30/Mo17-064 - (2n)-02	2017	1	2	19	MLA	69.56633333
3699211	PHW30/Mo17-064 - (2n)-02	2017	1	2	19	TUELA	79.207
3699211	PHW30/Mo17-064 - (2n)-02	2017	1	2	19	ULA	69.183
3699212	PHW30/Mo17-304 - (2n)-02	2017	1	2	20	FUELA	64.77266667
3699212	PHW30/Mo17-304 - (2n)-02	2017	1	2	20	MLA	63.718
3699212	PHW30/Mo17-304 - (2n)-02	2017	1	2	20	TUELA	75.37266667
3699212	PHW30/Mo17-304 - (2n)-02	2017	1	2	20	ULA	75.281
3699213	PHW30/Mo17-234 - (2n)-01	2017	1	2	21	FUELA	73.36
3699213	PHW30/Mo17-234 - (2n)-01	2017	1	2	21	MLA	69.37533333
