RecId	Trait	Loc	LA	PedId	Loc Seq#	Experiment	Entry	Pass	Range	Source	Pedigree	Notes
4085801	FUELA	1	72.617	3229334	1	MD-OBS1	1	5	2	15WJMY:Dziev:0277	Mo17/PHW30-086 - (2n)-01	NA
4085801	MLA	1	75.949	3229334	1	MD-OBS1	1	5	2	15WJMY:Dziev:0277	Mo17/PHW30-086 - (2n)-01	NA
4085801	TUELA	1	76.928	3229334	1	MD-OBS1	1	5	2	15WJMY:Dziev:0277	Mo17/PHW30-086 - (2n)-01	NA
4085801	ULA	1	67.17033333333333	3229334	1	MD-OBS1	1	5	2	15WJMY:Dziev:0277	Mo17/PHW30-086 - (2n)-01	NA
4085802	FUELA	1	55.181333333333335	3229355	2	MD-OBS1	2	6	2	15WJMY:Dziev:0299	Mo17/PHW30-341 - (2n)-02	NA
4085802	MLA	1	61.85933333333333	3229355	2	MD-OBS1	2	6	2	15WJMY:Dziev:0299	Mo17/PHW30-341 - (2n)-02	NA
4085802	TUELA	1	45.25333333333333	3229355	2	MD-OBS1	2	6	2	15WJMY:Dziev:0299	Mo17/PHW30-341 - (2n)-02	NA
4085802	ULA	1	43.386	3229355	2	MD-OBS1	2	6	2	15WJMY:Dziev:0299	Mo17/PHW30-341 - (2n)-02	NA
4085803	FUELA	1	73.054	3229269	3	MD-OBS1	3	7	2	15WJMY:Dziev:0211	PHW30/Mo17-187 - (2n)-01	NA
4085803	MLA	1	70.68033333333334	3229269	3	MD-OBS1	3	7	2	15WJMY:Dziev:0211	PHW30/Mo17-187 - (2n)-01	NA
4085803	TUELA	1	78.422	3229269	3	MD-OBS1	3	7	2	15WJMY:Dziev:0211	PHW30/Mo17-187 - (2n)-01	NA
4085803	ULA	1	79.83666666666667	3229269	3	MD-OBS1	3	7	2	15WJMY:Dziev:0211	PHW30/Mo17-187 - (2n)-01	NA
4085804	FUELA	1	60.839	3229226	4	MD-OBS1	4	8	2	15WJMY:Dziev:0166	PHW30/Mo17-160 - (2n)-01	NA
4085804	MLA	1	55.586	3229226	4	MD-OBS1	4	8	2	15WJMY:Dziev:0166	PHW30/Mo17-160 - (2n)-01	NA
4085804	TUELA	1	67.469	3229226	4	MD-OBS1	4	8	2	15WJMY:Dziev:0166	PHW30/Mo17-160 - (2n)-01	NA
4085804	ULA	1	64.22166666666666	3229226	4	MD-OBS1	4	8	2	15WJMY:Dziev:0166	PHW30/Mo17-160 - (2n)-01	NA
4085805	FUELA	1	72.587	3229103	5	MD-OBS1	5	9	2	15WJMY:Dziev:0039	PHW30/B73-421 - (2n)-03	NA
4085805	MLA	1	63.398	3229103	5	MD-OBS1	5	9	2	15WJMY:Dziev:0039	PHW30/B73-421 - (2n)-03	NA
4085805	TUELA	1	75.07733333333333	3229103	5	MD-OBS1	5	9	2	15WJMY:Dziev:0039	PHW30/B73-421 - (2n)-03	NA
4085805	ULA	1	76.91933333333333	3229103	5	MD-OBS1	5	9	2	15WJMY:Dziev:0039	PHW30/B73-421 - (2n)-03	NA
4085806	FUELA	1	78.43266666666666	3229270	6	MD-OBS1	6	10	2	15WJMY:Dziev:0212	PHW30/Mo17-187 - (2n)-02	NA
4085806	MLA	1	68.351	3229270	6	MD-OBS1	6	10	2	15WJMY:Dziev:0212	PHW30/Mo17-187 - (2n)-02	NA
4085806	TUELA	1	82.32033333333334	3229270	6	MD-OBS1	6	10	2	15WJMY:Dziev:0212	PHW30/Mo17-187 - (2n)-02	NA
4085806	ULA	1	81.08133333333333	3229270	6	MD-OBS1	6	10	2	15WJMY:Dziev:0212	PHW30/Mo17-187 - (2n)-02	NA
4085807	FUELA	1	69.744	3229265	7	MD-OBS1	7	11	2	15WJMY:Dziev:0207	PHW30/Mo17-155 - (2n)-01	NA
4085807	MLA	1	75.27366666666667	3229265	7	MD-OBS1	7	11	2	15WJMY:Dziev:0207	PHW30/Mo17-155 - (2n)-01	NA
4085807	TUELA	1	66.623	3229265	7	MD-OBS1	7	11	2	15WJMY:Dziev:0207	PHW30/Mo17-155 - (2n)-01	NA
4085807	ULA	1	61.282000000000004	3229265	7	MD-OBS1	7	11	2	15WJMY:Dziev:0207	PHW30/Mo17-155 - (2n)-01	NA
4085808	FUELA	1	71.91733333333333	3226178	8	MD-OBS1	8	12	2	15WJMY:Dziev:0014	PHW30/B73-434 - (2n)-02	NA
4085808	MLA	1	67.683	3226178	8	MD-OBS1	8	12	2	15WJMY:Dziev:0014	PHW30/B73-434 - (2n)-02	NA
4085808	TUELA	1	75.33033333333333	3226178	8	MD-OBS1	8	12	2	15WJMY:Dziev:0014	PHW30/B73-434 - (2n)-02	NA
4085808	ULA	1	80.561	3226178	8	MD-OBS1	8	12	2	15WJMY:Dziev:0014	PHW30/B73-434 - (2n)-02	NA
