Trait,Chromosome,Marker,Position(cM),LOD(H0:H1),R2(H0:H1),TR2(H0:H1),Additive(H1),S1
1,1,1,0.01,1.004245,0.013502,0.527057,-0.811175,6.859895
1,1,3,0.39,0.750456,0.010095,0.523649,-0.702058,6.63175
1,1,3,1.39,0.620033,0.00847,0.522024,-0.642826,6.586292
1,1,6,1.86,0.74316,0.009998,0.523552,-0.697838,6.63619
1,1,7,2.79,0.963076,0.01292,0.526474,-0.78965,6.03948
1,1,7,3.79,1.11668,0.015375,0.52893,-0.852536,6.092888
1,1,9,4.12,1.130423,0.015182,0.528736,-0.845481,6.045932
1,1,9,5.12,1.147658,0.015475,0.529029,-0.849743,6.089833
1,1,10,5.93,1.15308,0.015414,0.528968,-0.847453,5.973327
1,1,10,6.93,0.784286,0.010856,0.52441,-0.711188,6.054357
1,1,11,7.49,0.584615,0.007879,0.521433,-0.606562,6.167222
1,1,12,8.42,0.599435,0.008072,0.521626,-0.613613,6.421237
1,1,13,9.34,0.71289,0.009588,0.523142,-0.669987,6.577972
1,1,13,10.34,0.975923,0.013223,0.526777,-0.78563,6.664961
1,1,15,10.51,1.019434,0.013751,0.527305,-0.801092,6.651596
1,1,15,11.51,1.374333,0.018885,0.532439,-0.939965,6.609815
1,1,16,12.17,1.574136,0.021048,0.534602,-0.993937,6.675981
1,1,16,13.17,1.495257,0.020676,0.53423,-0.984068,6.710515
1,1,18,13.59,1.3895,0.018521,0.532076,-0.931401,6.577349
1,1,18,14.59,1.18847,0.016438,0.529992,-0.877138,6.465529
1,1,18,15.59,0.972456,0.013645,0.527199,-0.799038,6.268368
1,1,18,16.59,0.751678,0.010278,0.523832,-0.693507,6.071798
1,1,20,16.87,0.699067,0.009445,0.522999,-0.664862,5.981202
1,1,22,17.86,0.844011,0.011332,0.524886,-0.729614,3.889485
1,1,22,18.86,0.747927,0.010429,0.523984,-0.698878,3.943058
1,1,24,19.76,0.605222,0.00815,0.521704,-0.618917,4.226819
1,1,24,20.76,0.541738,0.007496,0.52105,-0.594395,4.387834
1,1,24,21.76,0.475601,0.006683,0.520237,-0.562523,4.542728
1,1,24,22.76,0.408254,0.00574,0.519294,-0.523052,4.698201
1,1,24,23.76,0.341622,0.004717,0.518271,-0.476352,4.863274
1,1,25,24.38,0.3145,0.004259,0.517813,-0.454246,4.960646
1,1,26,24.47,0.402777,0.005493,0.519047,-0.516925,4.954412
1,1,27,24.71,0.097923,0.001333,0.514887,-0.252558,6.793923
1,1,27,25.71,0.0657,9.5e-4,0.514505,-0.21354,7.068976
1,1,27,26.71,0.035458,5.04e-4,0.514058,-0.155744,7.296583
1,1,28,27.23,0.022603,3.07e-4,0.513861,-0.121644,7.359604
1,1,29,28.16,0.001584,2.2e-5,0.513576,-0.032041,7.236979
1,1,29,29.16,0.140225,0.001982,0.515536,-0.308282,6.741485
1,1,30,29.43,0.20663,0.002801,0.516355,-0.366774,6.527032
1,1,30,30.43,0.543822,0.007515,0.52107,-0.606916,6.024121
1,1,31,30.7,0.642896,0.008656,0.52221,-0.652995,5.960564
1,1,31,31.7,0.915754,0.012633,0.526187,-0.792123,6.266618
1,1,32,32.59,1.148781,0.015351,0.528905,-0.877641,6.536116
1,1,32,33.59,1.084833,0.014589,0.528143,-0.860026,6.922445
1,1,33,33.87,1.064742,0.014252,0.527806,-0.852079,6.960364
1,1,33,34.87,1.256784,0.017497,0.531052,-0.943139,7.20631
1,1,33,35.87,1.411838,0.01944,0.532995,-0.994655,7.298511
1,1,36,36.5,1.481559,0.019858,0.533412,-1.006175,7.220623
1,1,36,37.5,1.268364,0.017111,0.530665,-0.927552,6.750793
1,1,37,37.86,1.189501,0.015932,0.529486,-0.892923,6.534865
1,1,37,38.86,1.285567,0.017163,0.530717,-0.932265,7.04259
1,1,38,38.95,1.292277,0.017232,0.530787,-0.934595,7.065829
1,1,40,39.81,1.220445,0.01639,0.529944,-0.908538,6.815794
1,1,41,39.88,1.064633,0.014243,0.527797,-0.841627,6.891621
1,1,41,40.88,1.076084,0.014599000000000001,0.528153,-0.850519,6.754665
1,1,41,41.88,1.081562,0.014714,0.528268,-0.853265,6.521925
1,1,41,42.88,1.081153,0.01459,0.528144,-0.850008,6.207315
1,1,42,43.45,1.076453,0.014403,0.527957,-0.84516,6.004069
1,1,42,44.45,0.862369,0.011952,0.525506,-0.772997,6.030006
1,1,42,45.45,0.631284,0.008573,0.522127,-0.659224,5.96515
1,1,43,45.58,0.603931,0.008133,0.521687,-0.642787,5.959284
1,1,43,46.58,0.649516,0.008956,0.52251,-0.675372,6.087428
1,1,43,47.58,0.68389200000000006,0.009408,0.522962,-0.693663,6.198732
1,1,44,48.46,0.694231,0.009382,0.522936,-0.69463,6.254195
1,1,46,48.6,0.557531,0.007531,0.521085,-0.625879,6.181979
1,1,46,49.6,0.777654,0.010981,0.524535,-0.751524,6.224136
1,1,47,50.27,0.884633,0.012,0.525554,-0.783706,6.256233
1,1,47,51.27,0.722892,0.009745,0.5233,-0.705328,6.25313
1,1,48,51.35,0.709331,0.009541,0.523095,-0.697883,6.25138
1,1,48,52.35,0.553625,0.007807,0.521361,-0.631717,6.625794
1,1,49,53.24,0.390721,0.00528,0.518834,-0.520682,7.086381
1,1,50,54.19,0.123754,0.00168,0.515234,-0.29275,7.1599
1,1,51,54.88,0.116109,0.001574,0.515128,-0.285921,7.091269
1,1,52,54.96,0.095889,0.001305,0.514859,-0.261673,7.108564
1,1,53,55.91,0.002414,3.3e-5,0.513587,-0.04156,7.184116
1,1,53,56.91,1.8e-5,0,0.513554,0.003596,7.225453
1,1,53,57.91,0.003424,4.7e-5,0.513601,0.050422,7.280486
1,1,54,58.21,0.005623,7.6e-5,0.51363,0.064533,7.299162
1,1,54,59.21,0.025244,3.65e-4,0.513919,0.140569,7.393437
1,1,54,60.21,0.056778,8.05e-4,0.514359,0.208301,7.483706
1,1,56,60.79,0.077123,0.001048,0.514602,0.237587,7.529272
1,1,56,61.79,0.037907,5.32e-4,0.514086,0.168928,7.413651
1,1,56,62.79,0.011447,1.58e-4,0.513712,0.091861,7.306558
1,1,59,63.09,0.007746,1.05e-4,0.513659,0.075078,7.283228
1,1,60,63.15,0.014388,1.95e-4,0.513749,0.102975,7.28276
1,1,60,64.15,0.006315,9e-5,0.513644,0.069297,7.259435
1,1,60,65.15,0.001351,1.9e-5,0.513573,0.03163,7.236625
1,1,61,65.69,1.6e-4,2e-6,0.513556,0.010657,7.226306
1,1,61,66.69,0.027513,3.78e-4,0.51393200000000006,-0.140281,7.225619
1,1,62,66.93,0.042254,5.73e-4,0.514127,-0.172705,7.242103
1,1,62,67.93,0.040823,5.54e-4,0.514109,-0.169984,7.206443
1,1,63,68.21,0.040155,5.45e-4,0.514099,-0.168664,7.196533
1,1,64,68.45,0.034177,4.67e-4,0.514021,-0.156948,7.213141
1,1,64,69.45,0.078331,0.001074,0.514628,-0.238554,7.384398
1,1,65,69.82,0.096899,0.001314,0.514868,-0.264127,7.464595
1,1,66,70.75,0.039935,5.42e-4,0.514096,-0.167354,7.274362
1,1,67,71.67,0.030886,4.19e-4,0.513974,-0.147646,7.209025
1,1,68,72.29,0.002117,2.9e-5,0.513583,-0.038792,7.212631
1,1,69,73.22,0.00789,1.07e-4,0.513661,-0.074941,7.198321
1,1,69,74.22,0.095075,0.00139,0.514945,-0.267577,7.488355
1,1,72,74.65,0.147715,0.002002,0.515556,-0.320379,7.722584
1,1,72,75.65,0.195316,0.002678,0.516232,-0.373078,7.731084
1,1,73,75.82,0.201473,0.002744,0.516298,-0.378091,7.721513
1,1,73,76.82,0.151879,0.002068,0.515622,-0.326095,7.628061
1,1,74,76.97,0.14684,0.001994,0.515548,-0.32,7.604292
1,1,74,77.97,0.361817,0.005039,0.518594,-0.510076,7.002933
1,1,75,78.21,0.410507,0.005546,0.5191,-0.53572,6.921731
1,1,76,79.13,0.50108,0.006756,0.52031,-0.594175,7.038853
1,1,76,80.13,0.564812,0.007664,0.521218,-0.633545,7.09679
1,1,76,81.13,0.629773,0.008514,0.522069,-0.668958,7.11211
1,1,77,81.63,0.660779,0.008919,0.522474,-0.685471,7.105649
1,1,80,81.98,0.551199,0.007426,0.52098,-0.625642,6.886136
1,1,81,82.9,0.473894,0.006399,0.519953,-0.577946,6.595335
1,1,83,83.73,0.367725,0.005006,0.51856,-0.507524,6.610135
1,1,84,84.19,0.306692,0.004147,0.517701,-0.462359,6.520296
1,1,84,85.19,0.372785,0.00517,0.518724,-0.516448,6.545508
1,1,84,86.19,0.438801,0.006091,0.519645,-0.56134,6.580036
1,1,84,87.19,0.50063,0.006786,0.52034,-0.593795,6.611337
1,1,85,87.35,0.5117,0.006901,0.520455,-0.599027,6.617611
1,1,86,88.31,0.731522,0.009836,0.523391,-0.715075,6.77164
1,1,86,89.31,0.450171,0.006397,0.519951,-0.582066,6.67265
1,1,86,90.31,0.209101,0.002927,0.516482,-0.399114,6.655786
1,1,88,90.7,0.278617,0.003771,0.517325,-0.454978,6.586095
1,1,88,91.7,0.077761,0.001107,0.514661,-0.245983,6.682813
1,1,89,92.42,0.008587,1.17e-4,0.513671,-0.079905,6.989586
1,1,89,93.42,0.014836,2.18e-4,0.513772,-0.109026,6.908367
1,1,89,94.42,0.021093,3e-4,0.513854,-0.12793,6.852932
1,1,91,94.8,0.022634,3.1e-4,0.513864,-0.130082,6.843684
