Trait,Chromosome,Marker,Position(cM),LOD(H0:H1),R2(H0:H1),TR2(H0:H1),Additive(H1),S1
1,1,1,0.01,0.019164,3.75e-4,0.527238,0.090843,2.768968
1,1,3,0.23,0.009134,1.78e-4,0.527041,-0.062477,2.652694
1,1,4,0.63,0.030284,5.89e-4,0.527452,-0.112954,2.596466
1,1,4,1.63,0.037307,7.42e-4,0.527605,-0.127629,2.587312
1,1,4,2.63,0.045124,9.1e-4,0.527772,-0.142336,2.579395
1,1,4,3.63,0.053651,0.001084,0.527947,-0.156724,2.573415
1,1,4,4.63,0.062771,0.001258,0.528121,-0.170492,2.570096
1,1,4,5.63,0.072345,0.001423,0.528286,-0.183319,2.570211
1,1,8,6.12,0.0545,0.001059,0.527922,-0.158339,2.596898
1,1,8,7.12,0.106194,0.002092,0.528955,-0.226655,2.519791
1,1,9,7.59,0.132787,0.002578,0.529441,-0.253807,2.484859
1,1,12,8.52,0.008713,1.69e-4,0.527032,-0.066192,2.633412
1,1,12,9.52,0.040507,7.96e-4,0.527659,-0.141663,2.50259
1,1,15,9.85,0.054667,0.001062,0.527925,-0.163246,2.455211
1,1,15,10.85,0.040877,8.07e-4,0.52767,-0.142699,2.492111
1,1,15,11.85,0.028606,5.67e-4,0.52743,-0.119995,2.529913
1,1,15,12.85,0.018264,3.58e-4,0.527221,-0.095743,2.567769
1,1,16,13.22,0.014803,2.88e-4,0.527151,-0.086013,2.582583
1,1,20,14.15,3.36e-4,6e-6,0.526869,-0.012788,2.688093
1,1,20,15.15,3.36e-4,6e-6,0.526869,-0.012799,2.688094
1,1,20,16.15,3.36e-4,6e-6,0.526869,-0.012789,2.688094
1,1,25,16.24,0.008863,1.72e-4,0.527035,-0.064932,2.61108
1,1,25,17.24,0.026127,5.15e-4,0.527378,-0.112393,2.531365
1,1,28,17.9,0.041535999999999997,8.07e-4,0.52767,-0.140836,2.477358
1,1,28,18.9,0.036961,7.19e-4,0.527582,-0.133799,2.492698
1,1,32,19.32,1.297649,0.029559,0.46064,-0.772452,5.078828
1,1,32,20.32,1.270373,0.029106,0.460187,-0.766484,5.056481
1,1,32,21.32,1.241954,0.028492,0.459573,-0.758488,5.037955
1,1,32,22.32,1.212513,0.02772,0.458801,-0.748493,5.027695
1,1,43,22.6,1.745688,0.03941,0.470491,-0.881528,5.389957
1,1,45,23.59,1.739983,0.039323,0.470404,-0.883886,5.463024
1,1,45,24.59,2.169899,0.05015,0.481231,-0.996594,4.821583
1,1,55,25.49,3.668263,0.079652,0.510733,-1.268571,2.171401
1,1,56,26.4,3.507727,0.076433,0.507513,-1.243276,2.151526
1,1,56,27.4,3.606192,0.079937,0.511018,-1.270958,2.21967
1,1,56,28.4,3.664171,0.081261,0.512342,-1.280706,2.244433
1,1,56,29.4,3.692238,0.081159,0.512239,-1.278843,2.294861
