Trait	Chromosome	Marker	Position	LOD	R2(H0:H1)	TR2(H0:H1)	Additive	S1	Pop	Color	Sig_LOD	Sig
1	1	126	135.45	3.851491	0.055746	0.509403	1.660732	2.678727	Mo17	1	3.246359938116445	TRUE
1	1	126	136.45	3.679869	0.057869	0.511526	1.691556	3.027877	Mo17	1	3.246359938116445	TRUE
1	1	131	142.74	3.362388	0.049599	0.503256	1.539377	5.284275	Mo17	1	3.246359938116445	TRUE
1	1	132	143.3	3.450268	0.050166	0.503823	1.55138	5.563514	Mo17	1	3.246359938116445	TRUE
1	1	132	144.3	3.710668	0.054455	0.508112	1.622664	6.437592	Mo17	1	3.246359938116445	TRUE
1	1	132	145.3	3.948156	0.057555	0.511212	1.676387	7.045412	Mo17	1	3.246359938116445	TRUE
1	1	134	146.06	4.112113	0.059242	0.512899	1.70793	7.244052	Mo17	1	3.246359938116445	TRUE
1	1	134	147.06	4.003637	0.058213	0.51187	1.702491	7.800494	Mo17	1	3.246359938116445	TRUE
1	1	135	147.23	3.984549	0.057989	0.511646	1.700847	7.780983	Mo17	1	3.246359938116445	TRUE
1	1	136	147.5	3.965638	0.057864	0.511521	1.699484	7.842302	Mo17	1	3.246359938116445	TRUE
1	1	136	148.5	3.525763	0.055826	0.509483	1.668386	8.080723	Mo17	1	3.246359938116445	TRUE
1	1	159	174.9	3.769826	0.059594	0.510378	1.727485	8.832127	Mo17	1	3.246359938116445	TRUE
1	1	159	175.9	4.170853	0.06291	0.513694	1.772571	8.005798	Mo17	1	3.246359938116445	TRUE
1	1	160	176.61	4.343718	0.063069	0.513853	1.773688	7.280826	Mo17	1	3.246359938116445	TRUE
1	1	160	177.61	3.536677	0.054618	0.505402	1.644523	7.090851	Mo17	1	3.246359938116445	TRUE
1	1	161	177.86	3.260515	0.050244	0.501028	1.574253	6.958207	Mo17	1	3.246359938116445	TRUE
1	2	98	119.41	3.74496	0.055765	0.498259	1.636044	6.541174	Mo17	0	3.246359938116445	TRUE
1	2	99	119.73	3.89731	0.05747	0.499964	1.662006	6.591838	Mo17	0	3.246359938116445	TRUE
1	2	99	120.73	3.817593	0.056637	0.499132	1.653194	5.744379	Mo17	0	3.246359938116445	TRUE
1	2	100	120.88	3.802801	0.056332	0.498826	1.649569	5.549451	Mo17	0	3.246359938116445	TRUE
1	2	101	121.6	3.980809	0.058772	0.501267	1.675141	6.111491	Mo17	0	3.246359938116445	TRUE
1	2	101	122.6	4.780123	0.070469	0.512963	1.839206	7.268587	Mo17	0	3.246359938116445	TRUE
1	2	102	122.85	4.883727	0.071043	0.513537	1.848402	7.218537	Mo17	0	3.246359938116445	TRUE
1	2	103	123.77	4.704474	0.068639	0.511133	1.833104	6.104626	Mo17	0	3.246359938116445	TRUE
1	2	103	124.77	4.396447	0.067869	0.510364	1.833791	6.053223	Mo17	0	3.246359938116445	TRUE
1	2	104	125.26	3.989855	0.060292	0.502786	1.73346	5.47456	Mo17	0	3.246359938116445	TRUE
1	2	104	126.26	3.383441	0.051084	0.493579	1.602885	4.757903	Mo17	0	3.246359938116445	TRUE
1	2	105	126.41	3.27045	0.048634	0.491128	1.565597	4.597935	Mo17	0	3.246359938116445	TRUE
1	2	106	126.56	3.273894	0.048731	0.491226	1.567792	4.591083	Mo17	0	3.246359938116445	TRUE
1	2	106	127.56	3.544661	0.053094	0.495588	1.651289	4.635123	Mo17	0	3.246359938116445	TRUE
1	2	107	127.97	3.598687	0.053305	0.4958	1.660496	4.376795	Mo17	0	3.246359938116445	TRUE
1	2	107	128.97	3.784248	0.056224	0.498718	1.716611	4.48605	Mo17	0	3.246359938116445	TRUE
1	2	108	129.04	3.773749	0.056027	0.498521	1.714336	4.447217	Mo17	0	3.246359938116445	TRUE
1	2	109	129.36	3.252624	0.048445	0.490939	1.59181	3.868738	Mo17	0	3.246359938116445	TRUE
1	3	12	13.08	3.817663	0.049179	0.562733	-1.531153	8.595018	Mo17	1	3.246359938116445	TRUE
1	3	12	14.08	3.459692	0.045941	0.559496	-1.478041	8.035671	Mo17	1	3.246359938116445	TRUE
1	3	79	87.6	3.291818	0.048907	0.495619	-1.523532	7.419638	Mo17	1	3.246359938116445	TRUE
1	3	80	88.36	3.468593	0.051093	0.497805	-1.558261	7.440982	Mo17	1	3.246359938116445	TRUE
1	3	81	90.26	3.609549	0.054119	0.500831	-1.607063	7.502611	Mo17	1	3.246359938116445	TRUE
1	3	82	90.67	3.722665	0.054914	0.501626	-1.619919	7.59203	Mo17	1	3.246359938116445	TRUE
1	3	82	91.67	4.246869	0.064144	0.510856	-1.743566	7.60257	Mo17	1	3.246359938116445	TRUE
1	3	83	92.41	4.367517	0.063563	0.510274	-1.732813	7.058358	Mo17	1	3.246359938116445	TRUE
1	3	83	93.41	4.467995	0.06559	0.512301	-1.757021	6.872969	Mo17	1	3.246359938116445	TRUE
1	3	84	93.65	4.427352	0.064362	0.511073	-1.740088	6.653927	Mo17	1	3.246359938116445	TRUE
1	3	84	94.65	4.355024	0.065503	0.512214	-1.757269	6.286922	Mo17	1	3.246359938116445	TRUE
1	3	85	94.89	4.182912	0.060984	0.507695	-1.696518	5.665828	Mo17	1	3.246359938116445	TRUE
1	3	86	95.82	4.604314	0.066776	0.513487	-1.786191	7.2191	Mo17	1	3.246359938116445	TRUE
1	3	87	96.75	3.336595	0.049249	0.49596	-1.540703	6.556375	Mo17	1	3.246359938116445	TRUE
1	3	87	97.75	3.559312	0.052367	0.499079	-1.58581	7.067122	Mo17	1	3.246359938116445	TRUE
1	3	88	97.78	3.578052	0.052715	0.499426	-1.59081	7.038653	Mo17	1	3.246359938116445	TRUE
1	3	89	98.43	4.345958	0.063223	0.509935	-1.738478	6.843699	Mo17	1	3.246359938116445	TRUE
1	3	90	99.22	4.79058	0.069266	0.515978	-1.812428	8.672904	Mo17	1	3.246359938116445	TRUE
1	3	90	100.22	4.814157	0.07073	0.517442	-1.829488	8.217982	Mo17	1	3.246359938116445	TRUE
1	3	92	100.57	4.781586	0.069961	0.516673	-1.8194	7.736765	Mo17	1	3.246359938116445	TRUE
1	3	92	101.57	4.838187	0.074711	0.521423	-1.883688	8.691564	Mo17	1	3.246359938116445	TRUE
